cluster_id,cluster_size,n_supermarkets,supermarkets_present,category,match_type,known_brand,tier_type,unit_value,unit_type,pack_quantity,core_product_name_consensus,avg_pairwise_score,min_pairwise_score
15895,1,1,ASDA,food_cupboard,own_brand,,standard,1950.0,ml,,Soft Scoop Cornish Clotted Vanilla Ice Cream,,
15896,1,1,ASDA,food_cupboard,own_brand,,standard,475.4,ml,,Cookie Dough Ice Cream,,
15897,1,1,ASDA,food_cupboard,unbranded,,,1000.0,ml,,Kulfi Ice Pistachio Flavour Ice Cream with Real Pistachios,,
15898,1,1,ASDA,food_cupboard,own_brand,,standard,,,,Can Opener,,
15899,1,1,ASDA,food_cupboard,unbranded,,,,,,Culinare Can Opener,,
15900,1,1,ASDA,food_cupboard,own_brand,,standard,,,,Black Electric Can Opener,,
15901,1,1,ASDA,food_cupboard,unbranded,,,,,,Culinare One Touch Can Opener,,
15902,1,1,ASDA,food_cupboard,branded,Scoville,,,,,Neverstick Can Opener,,
15903,1,1,ASDA,food_cupboard,own_brand,,standard,,,,Stainless Steel Can Opener,,
15904,1,1,Morrisons,food_cupboard,branded,Ambrosia,,401.8,g,,Traditional Rice Pudding…,,
15905,1,1,ASDA,food_cupboard,branded,Ambrosia,,400.0,g,,Ready To Serve Devon Custard Can,,
15906,1,1,ASDA,food_cupboard,own_brand,,standard,,,,Metal Butterfly Can Opener,,
15907,1,1,ASDA,food_cupboard,unbranded,,,,,,Gino D'Acampo Can Opener,,
15908,1,1,ASDA,food_cupboard,branded,Taylor'S,,,,,Eye Witness Can Opener - Colour May Vary,,
15909,1,1,ASDA,food_cupboard,branded,Costa,,1000.0,ml,4.0,Caramel Latte Cans,,
15910,1,1,ASDA,food_cupboard,unbranded,,,400.0,g,,Bebeto Fizzy Gummy Sweets Party Mix Tub,,
15911,1,1,ASDA,food_cupboard,unbranded,,,500.0,g,,Bebeto Strawberry Trunks Soft Candy,,
15912,1,1,ASDA,food_cupboard,unbranded,,,500.0,g,,Bebeto Strawberry Laces Soft Candy,,
15913,1,1,ASDA,food_cupboard,own_brand,,standard,250.0,g,,Tomato and Basil Pizza Sauce Topper,,
15914,1,1,ASDA,food_cupboard,own_brand,,standard,500.0,g,,Tomato Passata with Garlic,,
15915,1,1,ASDA,food_cupboard,branded,Napolina,,200.0,g,,Double Concentrate Tomato Purée,,
15916,1,1,ASDA,food_cupboard,branded,Cook,,139.9,g,,Italian Tomato Purée,,
15917,1,1,Sains,food_cupboard,branded,Mutti,,400.0,g,,Passata With Basil,,
15918,1,1,ASDA,food_cupboard,unbranded,,,691.5,g,,Tarantella Tomato Passata,,
15919,1,1,ASDA,food_cupboard,own_brand,,standard,200.0,g,,Tomato Purée Double Concentrate,,
15920,1,1,ASDA,food_cupboard,own_brand,,standard,500.0,g,,Tomato Passata with Chilli and Peppers,,
15921,1,1,ASDA,food_cupboard,unbranded,,,209.9,g,,Tarantella Double Concentrate Tomato Puree,,
15922,1,1,ASDA,food_cupboard,branded,Heinz,,500.0,g,,Chilli Passata Tomato Base for Mexican Dishes,,
15923,1,1,ASDA,food_cupboard,branded,Heinz,,500.0,g,,Passata with Basil,,
15924,1,1,ASDA,food_cupboard,branded,Heinz,,500.0,g,,Curry Passata Tomato Base for Indian Dishes,,
15925,1,1,ASDA,food_cupboard,own_brand,,value,395.8,g,,Spaghetti Loops in Tomato Sauce,,
15926,1,1,ASDA,food_cupboard,unbranded,,,500.0,ml,,Carotino Healthier Oil for Cooking,,
15927,1,1,ASDA,food_cupboard,branded,Tiger,,150.0,ml,,Tiger Mirin Sweet Rice Wine for Cooking,,
15928,1,1,ASDA,food_cupboard,own_brand,,standard,3000.0,g,,Cooking Salt,,
15929,1,1,ASDA,food_cupboard,branded,Flying Goose,,198.9,ml,,Sriracha Mayo Sauce,,
15930,1,1,ASDA,food_cupboard,branded,Tiger,,456.1,ml,,Tiger Sriracha Hot Chilli Sauce,,
15931,1,1,ASDA,food_cupboard,branded,Tiger,,200.0,g,,Tiger Panko Japanese Style Breadcrumbs,,
15932,1,1,ASDA,food_cupboard,branded,Nongshim,,114.0,g,,Shin Noodle Soup Gourmet Spicy,,
15933,1,1,ASDA,food_cupboard,branded,Tiger,,28.0,g,,Tiger 10 Sushi Nori Roasted Seaweed,,
15934,1,1,ASDA,food_cupboard,own_brand,,standard,190.0,ml,,1 Cal Sunflower Oil Cooking Spray,,
15935,1,1,ASDA,food_cupboard,branded,Tiger,,456.1,ml,,Tiger Sriracha Mayo Sauce,,
15936,1,1,ASDA,food_cupboard,branded,Nissin,,100.0,g,,Demae Ramen,,
15937,1,1,Sains,food_cupboard,branded,Nissin,,100.0,g,,Demae Ramen Japanese Noodlesoup Beef Flavour,,
15938,1,1,ASDA,food_cupboard,own_brand,,standard,190.0,ml,,1 cal Rapeseed Oil Cooking Spray,,
15939,1,1,ASDA,food_cupboard,branded,Tiger,,149.3,ml,,Tiger Rice Vinegar,,
15940,1,1,ASDA,food_cupboard,unbranded,,,500.0,g,,Ajumma Republic Gochujang,,
15941,1,1,ASDA,food_cupboard,branded,Tiger,,694.4,g,,Tiger Oyster Sauce,,
15942,1,1,ASDA,food_cupboard,branded,Tiger,,43.0,g,,Tiger Wasabi Paste,,
15943,1,1,ASDA,food_cupboard,branded,Tiger,,227.3,g,,Tiger Sliced Water Chestnuts in Water,,
15944,1,1,ASDA,food_cupboard,unbranded,,,500.0,ml,,Gold Plum Rice Wine Vinegar,,
15945,1,1,ASDA,food_cupboard,branded,Tiger,,227.3,g,,Tiger Sliced Bamboo Shoots in Water,,
15946,1,1,ASDA,food_cupboard,branded,Nongshim,,75.0,g,,Shrimp Crackers,,
15947,1,1,ASDA,food_cupboard,own_brand,,premium,219.9,g,,British Duck Fat,,
15948,1,1,Sains,food_cupboard,branded,Flying Goose,,455.0,ml,,Brand Sriracha Hot Chilli Sauce,,
15949,1,1,ASDA,food_cupboard,unbranded,,,358.0,g,,Lingham's Garlic Chilli Sauce,,
15950,1,1,ASDA,food_cupboard,unbranded,,,200.0,ml,,Gold Plum Pure Sesame Oil,,
15951,1,1,ASDA,food_cupboard,unbranded,,,358.0,g,,Lingham's Chilli Sauce,,
15952,1,1,ASDA,food_cupboard,unbranded,,,150.0,ml,,Double Happiness Sushi Vinegar,,
15953,1,1,ASDA,food_cupboard,branded,Hellmann'S,,714.3,g,,Real Squeezy Mayonnaise,,
15954,1,1,Tesco,food_cupboard,branded,Heinz,,775.0,g,,Seriously Good Mayonnaise,,
15955,1,1,ASDA,food_cupboard,branded,Hellmann'S,,750.0,g,,Squeezy Mayonnaise light,,
15956,1,1,ASDA,food_cupboard,branded,Hellmann'S,,789.5,g,,Lighter than Light Mayonnaise,,
15957,1,1,ASDA,food_cupboard,branded,Ktc,,1000.0,ml,,Premium Quality Edible Mustard Oil Blend,,
15958,1,1,ASDA,food_cupboard,unbranded,,,198.9,ml,,Crisp 'n Dry CRISP N DRY OIL,,
15959,1,1,ASDA,food_cupboard,own_brand,,standard,500.0,ml,,Classic Real Mayonnaise,,
15960,1,1,ASDA,food_cupboard,unbranded,,,1000.0,ml,,U:ME Vegetable Olive Blend Oil,,
15961,1,1,ASDA,food_cupboard,branded,Hellmann'S,,403.2,g,,Squeezy Real Mayonnaise,,
15962,1,1,Sains,food_cupboard,branded,Hellmann'S,,400.0,g,,Lighter than Light Mayonnaise,,
15963,1,1,ASDA,food_cupboard,unbranded,,,500.0,ml,,Crucials Garlic Flavoured Mayo Dip,,
15964,1,1,ASDA,food_cupboard,own_brand,,value,493.8,g,,Mayonnaise,,
15965,1,1,ASDA,food_cupboard,branded,Hellmann'S,,250.0,ml,,Chunky Burger Table Sauce,,
15966,1,1,ASDA,food_cupboard,branded,Hellmann'S,,234.2,g,,Mayonnaise Roasted Garlic,,
15967,1,1,ASDA,food_cupboard,branded,Hellmann'S,,431.0,g,,Light Squeezy Mayonnaise,,
15968,1,1,Morrisons,food_cupboard,branded,Nando'S,,264.7,g,,Perinaise,,
15969,1,1,Sains,food_cupboard,branded,Nando'S,,265.0,g,,Perinaise Peri-Peri Mayonnaise Mild,,
15970,1,1,ASDA,food_cupboard,branded,Heinz,,789.5,ml,,Mayo,,
15971,1,1,ASDA,food_cupboard,own_brand,,standard,166.7,g,,Coarse Grain French Mustard,,
15972,1,1,ASDA,food_cupboard,unbranded,,,465.1,g,,Kraft Mayonnaise,,
15973,1,1,ASDA,food_cupboard,branded,Heinz,,460.0,g,,Seriously Good Mayonnaise,,
15974,1,1,ASDA,food_cupboard,own_brand,,dietary,277.8,g,,Mayonnaise,,
