cluster_id,product_idx,supermarket,names,category,known_brand_clean,own_brand,tier_type,unit_value,unit_type,pack_quantity,core_product_name,normalized_name,prices_(£),prices_unit_(£),product_type,cluster_size,n_supermarkets,match_type,avg_pairwise_score,AUDIT_same_core_product,AUDIT_weight_ok,AUDIT_tier_ok,AUDIT_notes
9973,29356,Morrisons,Nerds Watermelon & Cherry,food_cupboard,,False,,46.7,g,,Nerds Watermelon and Cherry,nerds watermelon and cherry,1.49,31.9,unbranded,2,2,cross_bucket,0.9450000000000001,,,,
9973,58544,Tesco,Nerds Candy Watermelon & Cherry 46.7G,food_cupboard,,False,,46.7,g,,Nerds Candy Watermelon and Cherry,nerds candy watermelon and cherry,1.3,27.8,unbranded,2,2,cross_bucket,0.9450000000000001,,,,
10106,32601,Sains,Meridian Crunchy Peanut Butter 280g,food_cupboard,,False,,280.0,g,,Meridian Crunchy Peanut Butter,meridian crunchy peanut butter,2.8,10.0,unbranded,2,2,cross_bucket,0.9282608695652175,,,,
10106,53782,Tesco,Meridian Peanut Butter Crunchy 100% Nuts 280G,food_cupboard,,False,,280.0,g,,Meridian Peanut Butter Crunchy 100% Nuts,meridian peanut butter crunchy 100 nuts,2.0,7.1,unbranded,2,2,cross_bucket,0.9282608695652175,,,,
10144,33215,Sains,Sainsbury's Chopped Pork With Ham 200g,food_cupboard,,True,standard,200.0,g,,Chopped Pork With Ham,chopped pork with ham,1.65,8.3,own_brand,2,2,own_brand,0.7863414634146341,,,,
10144,53426,Tesco,Tesco Chopped Pork & Ham 200G,food_cupboard,,True,standard,200.0,g,,Chopped Pork and Ham,chopped pork and ham,1.8,9.0,own_brand,2,2,own_brand,0.7863414634146341,,,,
10308,35704,Sains,Naturya Fairtrade Organic Cacao Powder 250g,food_cupboard,,False,,250.0,g,,Naturya Cacao Powder,naturya cacao powder,5.0,20.0,unbranded,2,2,unbranded,0.9,,,,
10308,58941,Tesco,Naturya Organic Cacao Powder Fair Trade 250G,food_cupboard,,False,,250.0,g,,Naturya Cacao Powder,naturya cacao powder,4.87,19.48,unbranded,2,2,unbranded,0.9,,,,
10857,44774,Sains,"Sainsbury's Chicken, Wiltshire Ham Hock & Leek Pie, Taste the Difference 500g",fresh_food,,True,premium,500.0,g,,"Chicken, Wiltshire Ham Hock and Leek Pie",chicken wiltshire ham hock and leek pie,5.95,11.9,own_brand,2,2,own_brand,0.8697860962566845,,,,
10857,56869,Tesco,Tesco Finest Chicken Ham Hock & Leek Pie 500G,fresh_food,,True,premium,500.0,g,,Chicken Ham Hock and Leek Pie,chicken ham hock and leek pie,6.5,13.0,own_brand,2,2,own_brand,0.8697860962566845,,,,
10914,45734,Sains,Nobbly Bobbly Strawberry & Chocolate Nobbly Ice Lolly 4x60ml,frozen,,False,,240.0,ml,4.0,Nobbly Bobbly Strawberry and Chocolate Nobbly Ice Lolly,nobbly bobbly strawberry and chocolate nobbly ice lolly,2.5,10.4,unbranded,2,2,unbranded,0.7220588235294118,,,,
10914,53912,Tesco,Nobbly Bobbly 4X60ml,frozen,,False,,240.0,ml,4.0,Nobbly Bobbly,nobbly bobbly,2.5,10.4,unbranded,2,2,unbranded,0.7220588235294118,,,,
