ensemble_cluster_id,product_idx,supermarket,score,pass
9340,52170,Tesco,0.943,1
11358,5661,ASDA,0.9429,1
10294,13907,ASDA,0.9428,1
7063,30924,Morrisons,0.9426,1
8307,40843,Sains,0.942,1
10055,56213,Tesco,0.9419,1
1222,50341,Tesco,0.9418,1
13699,6086,ASDA,0.9416,1
9690,15273,ASDA,0.9414,1
13690,14323,ASDA,0.9414,1
10432,11741,ASDA,0.9413,1
4673,20297,Morrisons,0.9413,1
3967,30270,Morrisons,0.9412,1
1441,51667,Tesco,0.9411,1
12903,6901,ASDA,0.9411,1
8228,58499,Tesco,0.9408,1
9867,16268,ASDA,0.9408,1
11146,40018,Sains,0.9406,1
11061,4916,ASDA,0.9406,1
10663,2753,ASDA,0.9404,1
12032,59794,Tesco,0.9402,1
6775,24266,Morrisons,0.9402,1
14224,16049,ASDA,0.9401,1
13597,25317,Morrisons,0.9398,1
5907,19761,Morrisons,0.9397,1
13832,1108,ASDA,0.9396,1
5515,22477,Morrisons,0.9395,1
3212,53396,Tesco,0.9395,1
4239,30081,Morrisons,0.9395,1
11010,14954,ASDA,0.9393,1
8192,38926,Sains,0.9392,1
3743,31939,Sains,0.9392,1
5204,29163,Morrisons,0.939,1
4035,43599,Sains,0.9389,1
3129,19064,Morrisons,0.9386,1
12138,47399,Sains,0.9385,1
14032,6536,ASDA,0.9383,1
8400,28420,Morrisons,0.9382,1
547,44272,Sains,0.9381,1
4079,59057,Tesco,0.9381,1
12723,7083,ASDA,0.938,1
7636,51203,Tesco,0.9377,1
14334,2101,ASDA,0.9377,1
3631,48980,Sains,0.9377,1
13394,30146,Morrisons,0.9377,1
3556,46975,Sains,0.9376,1
12686,3337,ASDA,0.9374,1
13902,18377,Morrisons,0.9372,1
1345,37908,Sains,0.9371,1
13646,29438,Morrisons,0.937,1
4363,52205,Tesco,0.937,1
12665,23290,Morrisons,0.9369,1
11425,5608,ASDA,0.9369,1
13910,6387,ASDA,0.9368,1
14430,30917,Morrisons,0.9362,1
1501,48723,Sains,0.9362,1
7003,33671,Sains,0.936,1
7522,17720,Morrisons,0.936,1
7722,33594,Sains,0.936,1
7122,52480,Tesco,0.936,1
10351,11654,ASDA,0.9359,1
106,60658,Tesco,0.9359,1
6915,20142,Morrisons,0.9358,1
11138,15109,ASDA,0.9356,1
13652,12330,ASDA,0.9355,1
6750,50753,Tesco,0.9347,1
3600,53075,Tesco,0.9347,1
9658,7262,ASDA,0.9346,1
6431,41036,Sains,0.9345,1
10148,51485,Tesco,0.9344,1
11162,58718,Tesco,0.9343,1
10810,13575,ASDA,0.9342,1
5675,51297,Tesco,0.934,1
13442,27947,Morrisons,0.9336,1
