cluster_id,product_idx,supermarket,names,unit_value,unit_type,match_type,avg_pairwise_score,cluster_size,verdict,confidence,reason
2618,25219,Morrisons,Cono Sur Bicicleta Viognier,750.0,ml,unbranded,0.0,4,ERROR,0.0,"""Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"""
2618,40841,Sains,Zana Pinot Noir 75cl,750.0,ml,unbranded,0.0,4,ERROR,0.0,"""Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"""
2618,61243,Tesco,Cono Sur Bicicleta Pinot Noir 75Cl,750.0,ml,unbranded,0.0,4,ERROR,0.0,"""Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"""
2660,5037,ASDA,Chicago Town Takeaway Large Stuffed Pepperoni Pizza,650.0,g,branded,0.0,4,ERROR,0.0,"""Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"""
2660,26191,Morrisons,Chicago Town Deep Dish Pepperoni Pizzas,,,branded,0.0,4,ERROR,0.0,"""Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"""
2660,45690,Sains,Chicago Town Takeaway Large Cheesy Stuffed Pepperoni Pizza 640g,640.0,g,branded,0.0,4,ERROR,0.0,"""Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"""
2660,62364,Tesco,Chicago Town Deep Dish Pepperoni Pizzas 2 X 155G,310.0,g,branded,0.0,4,ERROR,0.0,"""Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"""
2798,5316,ASDA,Birds Eye 12 Green Cuisine Vegan Fishless Fingers,340.0,g,branded,0.0,4,ERROR,0.0,"""Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"""
2798,26912,Morrisons,Birds Eye 2 Green Cuisine Vegan C…,,,branded,0.0,4,ERROR,0.0,"""Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"""
2798,47048,Sains,Birds Eye Green Cuisine Vegan Fishless Fingers x12 336g,336.0,g,branded,0.0,4,ERROR,0.0,"""Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"""
2798,63535,Tesco,Birds Eye Green Cuisine Fishless Fingers 12 Pack 336G,336.0,g,branded,0.0,4,ERROR,0.0,"""Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"""
2926,5530,ASDA,Birds Eye 12 Gluten Free Fish Fingers,350.0,g,branded,0.0,4,ERROR,0.0,"""Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"""
