supermarket,prices_(£),prices_unit_(£),unit,names,date,category,own_brand,is_truncated,original_name,supermarket_brand,tier_type,tier_keyword,known_brand,pack_quantity,pack_pattern,unit_value,unit_type,abv_percentage,unit_inferred,attributes_types,attributes_keywords,descriptors,core_product_name,normalized_name,product_idx,known_brand_clean,product_type,has_unit,has_pack,cat_norm,cluster_size,cluster_id,match_type,avg_pairwise_score
Morrisons,1.25,0.25,unit,Cadbury Mint Mini Rolls,20240413,bakery,False,False,Cadbury Mint Mini Rolls,,,,Cadbury,,,,,,False,,,,Mint Mini Rolls,cadbury mint mini rolls,25940,Cadbury,branded,False,False,bakery,4,6170,branded,0.0
Sains,2.35,0.47,unit,Cadbury Chocolate Mini Rolls Cakes x5,20240405,bakery,False,False,Cadbury Chocolate Mini Rolls Cakes x5,,,,Cadbury,5.0,x_count,,,,False,,,,Chocolate Mini Rolls Cakes,cadbury chocolate mini rolls cakes,47085,Cadbury,branded,False,True,bakery,4,6170,branded,0.0
Tesco,1.25,0.25,unit,Cadbury Mini Rolls Chocolate Mint 5 Pack,20240413,bakery,False,False,Cadbury Mini Rolls Chocolate Mint 5 Pack,,,,Cadbury,5.0,count_pack,,,,False,,,,Mini Rolls Chocolate Mint,cadbury mini rolls chocolate mint,50954,Cadbury,branded,False,True,bakery,4,6170,branded,0.0
ASDA,4.0,1.5,l,Pepsi Max Cans,20240413,drinks,False,False,Pepsi Max Cans,,,,Pepsi,,,2666.7,ml,,True,,,{'packaging': ['cans']},Max Cans,pepsi max cans,11097,Pepsi,branded,True,False,drinks,4,6179,branded,0.0
Morrisons,3.75,1.4,l,Pepsi Max No Caffeine No Sugar Cola Cans,20240413,drinks,False,False,Pepsi Max No Caffeine No Sugar Cola Cans,,,,Pepsi,,,2678.6,ml,,True,,,{'packaging': ['cans']},Max No Caffeine No Sugar Cola Cans,pepsi max no caffeine no sugar cola cans,27876,Pepsi,branded,True,False,drinks,4,6179,branded,0.0
Sains,4.5,1.7,l,Pepsi Max Lime No Sugar Cola Cans 8x330ml,20240413,drinks,False,False,Pepsi Max Lime No Sugar Cola Cans 8x330ml,,,,Pepsi,8.0,count_x_size,2640.0,ml,,False,,,{'packaging': ['cans']},Max Lime No Sugar Cola Cans,pepsi max lime no sugar cola cans,39623,Pepsi,branded,True,True,drinks,4,6179,branded,0.0
Tesco,3.99,1.5,l,Pepsi Max No Sugar Cola Cans 8x330ml,20240413,drinks,False,False,Pepsi Max No Sugar Cola Cans 8x330ml,,,,Pepsi,8.0,count_x_size,2640.0,ml,,False,,,{'packaging': ['cans']},Max No Sugar Cola Cans,pepsi max no sugar cola cans,49667,Pepsi,branded,True,True,drinks,4,6179,branded,0.0
ASDA,0.6,4.0,l,Coca-Cola Zero Sugar Mini Can,20240413,drinks,False,False,Coca-Cola Zero Sugar Mini Can,,,,Coca-cola Zero,,,150.0,ml,,True,,,{'packaging': ['can']},Sugar Mini Can,coca cola zero sugar mini can,11114,Coca-cola Zero,branded,True,False,drinks,3,6195,branded,0.0
Sains,0.6,4.0,l,Coca-Cola Zero Sugar 150ml,20240413,drinks,False,False,Coca-Cola Zero Sugar 150ml,,,,Coca-cola Zero,,,150.0,ml,,False,,,,Sugar,coca cola zero sugar,39435,Coca-cola Zero,branded,True,False,drinks,3,6195,branded,0.0
Tesco,0.6,4.0,l,Coca Cola Zero Sugar 150Ml,20240413,drinks,False,False,Coca Cola Zero Sugar 150Ml,,,,Coca Cola Zero,,,150.0,ml,,False,,,,Sugar,coca cola zero sugar,50995,Coca Cola Zero,branded,True,False,drinks,3,6195,branded,0.0
ASDA,4.0,1.3,l,Lucozade Energy Orange Bottles,20240413,drinks,False,False,Lucozade Energy Orange Bottles,,,,Lucozade,,,3000.0,ml,,True,,,{'packaging': ['bottles']},Energy Orange Bottles,lucozade energy orange bottles,11391,Lucozade,branded,True,False,drinks,2,6354,branded,0.0
Tesco,4.5,11.8,l,Lucozade Energy Orange 8 Pack 380Ml,20240413,drinks,False,False,Lucozade Energy Orange 8 Pack 380Ml,,,,Lucozade,8.0,count_pack,380.0,ml,,False,,,,Energy Orange,lucozade energy orange,54406,Lucozade,branded,True,True,drinks,2,6354,branded,0.0
ASDA,1.75,3.9,kg,Patak's Balti Cooking Sauce,20240413,food_cupboard,False,False,Patak's Balti Cooking Sauce,,,,Patak's,,,450.0,g,,True,,,,Balti Cooking Sauce,pataks balti cooking sauce,11465,Patak's,branded,True,False,food_cupboard,4,6401,branded,0.0
Morrisons,1.75,3.9,kg,Patak's Balti Sauce,20240413,food_cupboard,False,False,Patak's Balti Sauce,,,,Patak's,,,450.0,g,,True,,,,Balti Sauce,pataks balti sauce,20915,Patak's,branded,True,False,food_cupboard,4,6401,branded,0.0
Sains,2.15,4.8,kg,Patak's Korma Curry Sauce 450g,20240413,food_cupboard,False,False,Patak's Korma Curry Sauce 450g,,,,Patak's,,,450.0,g,,False,,,,Korma Curry Sauce,pataks korma curry sauce,31912,Patak's,branded,True,False,food_cupboard,4,6401,branded,0.0
Tesco,1.75,3.9,kg,Pataks Medium Balti Sauce 450G,20240413,food_cupboard,False,False,Pataks Medium Balti Sauce 450G,,,,Pataks,,,450.0,g,,False,,,{'flavor': ['medium']},Medium Balti Sauce,pataks medium balti sauce,51434,Pataks,branded,True,False,food_cupboard,4,6401,branded,0.0
ASDA,2.1,13.3,kg,ASDA 12 Crunchy Taco Shells,20240413,food_cupboard,True,False,ASDA 12 Crunchy Taco Shells,ASDA,standard,,,12.0,leading_count,160.0,g,,True,,,{'texture': ['crunchy']},Crunchy Taco Shells,crunchy taco shells,11721,,own_brand,True,True,food_cupboard,3,6584,own_brand,0.0
Sains,1.8,12.0,kg,Sainsbury's Crunchy Taco Shells x12 150g,20240413,food_cupboard,True,False,Sainsbury's Crunchy Taco Shells x12 150g,Sainsbury's,standard,,,12.0,x_count,150.0,g,,False,,,{'texture': ['crunchy']},Crunchy Taco Shells,crunchy taco shells,33486,,own_brand,True,True,food_cupboard,3,6584,own_brand,0.0
Tesco,2.0,13.3,kg,Tesco 12 Crunchy Taco Shells 150G,20240413,food_cupboard,True,False,Tesco 12 Crunchy Taco Shells 150G,Tesco,standard,,,12.0,leading_count,150.0,g,,False,,,{'texture': ['crunchy']},Crunchy Taco Shells,crunchy taco shells,54815,,own_brand,True,True,food_cupboard,3,6584,own_brand,0.0
ASDA,3.25,8.12,kg,ASDA Meal For One Chicken & Bacon Pasta Bake 400g,20240413,fresh_food,True,False,ASDA Meal For One Chicken & Bacon Pasta Bake 400g,ASDA,standard,,,,,400.0,g,,False,preparation,meal for one,,Chicken and Bacon Pasta Bake,chicken and bacon pasta bake,12051,,own_brand,True,False,fresh_food,4,6776,own_brand,0.0
Morrisons,2.5,8.33,kg,Morrisons Chicken & Bacon Pasta,20240413,fresh_food,True,False,Morrisons Chicken & Bacon Pasta,Morrisons,standard,,,,,300.0,g,,True,,,,Chicken and Bacon Pasta,chicken and bacon pasta,18859,,own_brand,True,False,fresh_food,4,6776,own_brand,0.0
Sains,1.75,5.84,kg,Sainsbury's Chicken & Bacon Tortelloni 300g,20240413,fresh_food,True,False,Sainsbury's Chicken & Bacon Tortelloni 300g,Sainsbury's,standard,,,,,300.0,g,,False,,,,Chicken and Bacon Tortelloni,chicken and bacon tortelloni,44061,,own_brand,True,False,fresh_food,4,6776,own_brand,0.0
Tesco,2.85,9.5,kg,Tesco Chicken & Bacon Pasta 300G,20240412,fresh_food,True,False,Tesco Chicken & Bacon Pasta 300G,Tesco,standard,,,,,300.0,g,,False,,,,Chicken and Bacon Pasta,chicken and bacon pasta,62470,,own_brand,True,False,fresh_food,4,6776,own_brand,0.0
ASDA,3.25,8.12,kg,ASDA Meal For One Macaroni Cheese 400g,20240413,fresh_food,True,False,ASDA Meal For One Macaroni Cheese 400g,ASDA,standard,,,,,400.0,g,,False,preparation,meal for one,,Macaroni Cheese,macaroni cheese,12054,,own_brand,True,False,fresh_food,2,6779,own_brand,0.0
Tesco,1.0,2.6,kg,Tesco Macaroni Cheese In Sauce 385G,20240413,food_cupboard,True,False,Tesco Macaroni Cheese In Sauce 385G,Tesco,standard,,,,,385.0,g,,False,,,,Macaroni Cheese In Sauce,macaroni cheese in sauce,58383,,own_brand,True,False,food_cupboard,2,6779,own_brand,0.0
