cid,size,min_cos,min_jac,size_ratio,n_brands,n_cats,confidence,likely_good
13268,2,0.9766764769825254,1.0,1.0,1,1,1.0,True
13269,2,0.8955258273771258,0.5,1.0,0,1,0.9166666666666667,True
13270,2,0.6065448039237491,0.5,1.0,0,1,0.833757296919702,True
13271,2,0.9624924915022041,0.8333333333333334,1.0,0,1,1.0,True
13272,2,0.9999999999999997,1.0,1.0,0,1,1.0,True
13273,2,1.0000000000000004,1.0,1.0,0,1,1.0,True
13274,3,0.8513072168367012,1.0,1.0,1,1,1.0,True
13275,2,1.0000000000000004,1.0,1.0,1,1,1.0,True
13276,2,0.7023641813708054,0.6666666666666666,1.0294117647058822,0,2,0.8942671888414563,False
13277,2,0.5991961985861655,0.3333333333333333,1.0,0,2,0.7111634501877219,False
13278,3,0.5284887278866253,0.5,1.2,0,2,0.6703046929037918,False
13279,4,0.4849764506185793,0.5,1.0,0,2,0.7316565740746294,False
13280,4,0.4039075156487922,0.375,1.2,0,2,0.56482941146853,False
13281,2,0.7509830809346631,0.6666666666666666,1.0,0,2,0.9151038600831097,False
13284,2,0.4586266409366585,0.5,1.1875,0,2,0.6403637984966633,False
