supermarket,prices_(£),prices_unit_(£),unit,names,date,category,own_brand
Morrisons,2.0,2.7,kg,Hartleys Jelly Blackcurrant Flavour Jelly 6PK,20240413,food_cupboard,False
Sains,14.0,18.62,l,Villa Maria Sparkling Cuvée Brut 75cl,20240413,drinks,False
Sains,1.95,7.8,l,"Sainsbury's Sicilian Lemon Gin & Tonic, Taste the Difference 250ml",20240405,drinks,True
Tesco,0.9,12.0,kg,Batchelors Super Noodles Pot Bbq Beef 75G,20240413,food_cupboard,False
ASDA,25.0,35.71,l,El Jimador 100% Agave Tequila Blanco,20240413,drinks,False
Sains,5.6,3.5,kg,Muttil Whole Peeled Tomatoes 4x400g,20240413,food_cupboard,False
Morrisons,1.5,7.5,kg,Morrisons Fishmonger Kipper Fillets,20240413,fresh_food,True
Sains,3.95,69.3,kg,"Starbucks by Nespresso Decaf Espresso Coffee x10 Pods, 10 Drinks",20240413,food_cupboard,False
Morrisons,2.39,9.6,kg,Holy Cow! Delhi Tikka Masala,20240413,food_cupboard,False
Sains,0.62,1.6,kg,Sainsbury's Oxtail Soup 400g,20240413,food_cupboard,True
Sains,1.75,2.9,kg,Sainsbury's Chunky Vegetable Soup 600g,20240413,fresh_food,True
ASDA,0.65,0.7,l,ASDA Diet Indian Tonic Water with Lime,20240413,drinks,True
ASDA,9.5,39.6,kg,Grenade Chocolate Chip Salted Caramel Flavour,20240225,food_cupboard,False
ASDA,1.69,0.28,unit,ASDA Zingy & Crisp Braeburn Apples,20240413,fresh_food,True
Sains,20.0,38.5,kg,PhD Smart Protein Powder Plant Chocolate Cookie 500g,20240413,free-from,False
Morrisons,5.0,15.24,kg,Morrisons The Best Panc…,20240311,fresh_food,True
Sains,12.5,0.07,unit,Sainsbury's Health Matters Immunity Chewable Vitamin C One a Day Tablet x180 1000mg,20240413,free-from,True
ASDA,2.75,6.25,l,BrewDog Hazy Jane Guava,20240413,drinks,False
Sains,2.0,24.4,kg,Science in Sport Beta Fuel Orange Energy Drink 82g,20240413,free-from,False
Sains,0.55,0.55,unit,Sainsbury's Large Garlic,20240413,fresh_food,True
Sains,6.25,8.31,l,Edizione 789 Di Mondelli Prosecco 75cl,20240413,drinks,False
Sains,12.0,49.6,kg,Tony's Chocolonely Milk Chocolate 242g,20240201,food_cupboard,False
Morrisons,4.25,4.25,kg,Morrisons BBQ Chicken Drums,20240413,fresh_food,True
Morrisons,0.99,6.69,kg,Morrisons 2 Fresh Bake Pork Sausage Rolls,20240413,fresh_food,True
Sains,1.25,7.35,kg,Pukka Vegan No Steak Slice 170g,20240413,free-from,False
Sains,2.5,5.56,kg,Sainsbury's Frozen Peach & Nectarine Slices 450g,20240413,fresh_food,True
Morrisons,3.49,11.63,kg,Morrisons The Best Aged Red Leicester,20240413,fresh_food,True
Morrisons,3.0,8.11,kg,This Isn't Chicken Plant-Based Chicken Pieces,20240413,fresh_food,False
Sains,2.1,2.1,l,Califia Farms Oat Drink Barista Blend 1L,20240413,food_cupboard,False
ASDA,0.75,3.8,kg,Shalimar Balti Mix 200g,20240413,food_cupboard,False
Sains,18.0,18.0,l,Grant's Triple Wood Blended Scotch Whisky 1L,20240413,drinks,False
Tesco,26.0,13.0,kg,Tesco Lamb Whole Leg Joint,20240413,fresh_food,True
Sains,1.1,30.6,kg,Orion Choco Boy Chocolate Biscuits 36g,20240221,free-from,False
Sains,5.25,4.4,l,Fever-Tree Premium Indian Tonic Water 8 x 150ml (Sugar levy applied),20240413,drinks,False
Morrisons,0.49,4.3,kg,Morrisons Savers Fruit Cocktail Trifle,20240413,fresh_food,True
Tesco,1.4,7.0,kg,Mcvitie's 8 Toasting Waffles Chocolate 200G,20240413,bakery,False
Morrisons,1.15,4.6,l,UFIT Chocolate Protein,20240413,drinks,False
ASDA,6.0,2.64,l,Hobgoblin Gold Beer,20240413,drinks,False
ASDA,1.25,4.2,kg,ASDA Free From Brown Sauce,20240413,free-from,True
Sains,2.55,2.6,l,Mazola Pure Corn Oil 1L,20240413,food_cupboard,False
Tesco,2.95,8.2,kg,Bio&Me Super Berry Gut Loving Granola 360g,20240413,food_cupboard,False
Morrisons,1.99,11.7,kg,Pek Chopped Pork Gold,20240413,food_cupboard,False
Morrisons,2.25,6.2,kg,Aashirvaad Phulka Roti,20240413,food_cupboard,False
Sains,3.5,8.75,kg,Plant Pioneers Vegan No Chicken Sweet & Sour with Tofu Fried Rice Ready Meal for 1 400g,20240413,free-from,False
Tesco,2.4,6.12,kg,Tesco Beef Casserole 392G,20240413,food_cupboard,True
