cluster_id,supermarkets,product_names,unit_value,unit_type,category,tier,is_known_brand,known_brand,price_min,price_max,price_mean,product_count,supermarket_count,price_range
16986,"ASDA,Tesco","['Indus Whole Almonds', 'Whole Blanched Almonds']",-1.0,none,food_cupboard,none,False,none,1.8,6.5,4.15,2,2,4.7
16989,"ASDA,Tesco","['Italian Peeled Plum Tomatoes in Tomato Juice', 'Italian Cherry Tomatoes']",-1.0,none,food_cupboard,standard,False,none,0.55,1.6,1.0750000000000002,2,2,1.05
16990,"ASDA,Sains","['Bake Cocoa Powder', 'Food Thoughts Organic Cocoa Powder']",250.0,g,food_cupboard,none,False,none,2.5,2.7,2.6,2,2,0.20000000000000018
16991,"ASDA,Morrisons,Sains,Tesco","['Dark Chocolate Chips', 'Riesen Dark Chocolate Chewy Toffee', 'Eat Natural Fibre Packed Fruit & Nut Bars Dark Chocolate and Sea Salt', 'Natures Store Dark Chocolate Rice Cakes']",-1.0,none,food_cupboard,standard,False,none,0.65,2.4,1.45,4,4,1.75
16992,"ASDA,Sains","['Tribe Protein Muesli Choc Hazelnut', 'Tribe Choc Peanut Protein Flapjack']",70.0,g,food_cupboard,none,False,none,1.5,1.75,1.625,2,2,0.25
16995,"ASDA,Sains,Tesco","['Chocolate Brownie Fibre Bars', 'Fulfil Chocolate Brownie Flavour Vitamin & Protein Bar', 'Pulsin Fibre Brownie Peanut Chocolate Chip']",-1.0,none,food_cupboard,standard,False,none,0.5,3.0,1.8333333333333333,3,3,2.5
16996,"ASDA,Sains,Tesco","['Dark Chocolate Butter Biscuits', 'All Butter Chocolate Chip Shortbread']",-1.0,none,food_cupboard,standard,False,none,1.0,1.4,1.2,3,3,0.3999999999999999
16997,"ASDA,Sains","['Organic Set Honey', 'Penne, SO Organic']",-1.0,none,food_cupboard,standard,False,none,1.35,3.3,2.325,2,2,1.9499999999999997
16999,"Morrisons,Sains","[""Irwin's Together Potato Breads"", ""Irwin's Together Soda Bread Minis""]",-1.0,none,food_cupboard,none,False,none,1.35,2.0,1.675,2,2,0.6499999999999999
17000,"Morrisons,Tesco","['Taj Crushed Ginger', 'Surya Crushed Ginger']",-1.0,none,food_cupboard,none,False,none,0.9,1.0,0.95,2,2,0.09999999999999998
17001,"Morrisons,Tesco","['Taj Original Paratha Flatbread', 'Humza Paratha Original']",-1.0,none,food_cupboard,none,False,none,1.25,3.7,2.475,2,2,2.45
17002,"Morrisons,Sains,Tesco","['Shana Garlic Paratha', 'Shana Paratha Multi Pack', 'Shana Plain Paratha']",-1.0,none,food_cupboard,none,False,none,1.7,3.95,2.516666666666667,3,3,2.25
17003,"Morrisons,Tesco","['Shana Whole Baby Okra', 'Surya Whole Baby Okra Bhindi']",-1.0,none,food_cupboard,none,False,none,1.1,1.1,1.1,2,2,0.0
17004,"Morrisons,Sains,Tesco","['Pakeeza Exotic Mango Lassi Yogurt Drink', 'Pakeeza Mango Lassi', 'Nomadic Mango Lassi Yogurt Drink']",-1.0,none,food_cupboard,none,False,none,1.95,3.75,2.983333333333333,3,3,1.8
17005,"Morrisons,Sains","['Oshee Vitamin Recovery Drink', 'Oshee Vitamin & Mineral Energy Drink (Sugar levy applied)']",-1.0,none,food_cupboard,none,False,none,0.5,0.6,0.55,2,2,0.09999999999999998
17006,"Morrisons,Tesco","['Humza Chicken Spring Roll', 'Humza Chicken Samosa 20 Pieces']",-1.0,none,food_cupboard,none,False,none,4.5,4.5,4.5,2,2,0.0
17007,"Morrisons,Tesco","['Humza Veg Samosa', 'Humza Meat Samosa (20 Pieces)']",-1.0,none,food_cupboard,none,False,none,4.5,4.5,4.5,2,2,0.0
17009,"Morrisons,Sains,Tesco",['Bolands Jam Mallows'],-1.0,none,food_cupboard,none,False,none,1.7,2.1,1.8499999999999999,3,3,0.40000000000000013
17010,"Morrisons,Sains,Tesco",['Tiger Energy Drink'],-1.0,none,food_cupboard,none,False,none,0.65,0.75,0.7000000000000001,3,3,0.09999999999999998
17011,"Morrisons,Sains","[""Aunty Noray's Merguez Sausage"", ""Aunty Noray's Lamb Rashers""]",-1.0,none,food_cupboard,none,False,none,2.5,3.3,2.9,2,2,0.7999999999999998
17013,"Morrisons,Sains,Tesco","['Lancashire Farm Paneer', 'Lancashire Farm Natural Whole Milk Bio Yogurt', 'Lancashire Farm Natural Fat Free Yogurt']",-1.0,none,food_cupboard,none,False,none,1.75,2.25,1.9333333333333333,3,3,0.5
17014,"Morrisons,Sains,Tesco","['Aashirvaad Garlic & Coriander Naan', 'Garlic & Coriander Naan']",-1.0,none,food_cupboard,none,False,none,0.69,2.25,1.2466666666666668,3,3,1.56
17015,"Morrisons,Sains,Tesco","['Lancashire Farm Natural Bio Yogurt', 'Lancashire Farm Greek Yogurt', 'Lancashire Farm Greek Style Yogurt']",-1.0,none,food_cupboard,none,False,none,1.8,2.95,2.533333333333333,3,3,1.1500000000000001
17016,"Morrisons,Tesco","['Lancashire Farm Greek Style Natural Yogurt', 'Lancashire Farm Whole Milk Yogurt']",-1.0,none,food_cupboard,none,False,none,1.8,2.25,2.025,2,2,0.44999999999999996
17017,"Morrisons,Sains,Tesco","['Old Jamaica Light Ginger Beer', 'Old Jamaica Ginger Beer Can', 'Old Jamaica Ginger Beer Regular']",-1.0,none,food_cupboard,none,False,none,0.35,2.0,0.98,3,3,1.65
17018,"Morrisons,Sains,Tesco","['Old Jamaica Ginger Beer', 'Old Jamaica Ginger Beer, Light', 'Old Jamaica Ginger Beer Light']",-1.0,none,food_cupboard,none,False,none,0.35,0.59,0.48,3,3,0.24
17020,"Morrisons,Sains,Tesco","['Thai Dragon Pad Thai Rice Noodles', 'Thai Sticky Rice', 'Thai Dragon Fish Sauce']",-1.0,none,food_cupboard,none,False,none,1.2,1.75,1.4833333333333334,3,3,0.55
17021,"Morrisons,Sains,Tesco","['Grace Mighty Malt Original Drink', 'Ovaltine Malt Drink, Original, Light', 'Grace Mighty Malt Drink Original']",-1.0,none,food_cupboard,none,False,none,0.99,5.0,3.1633333333333336,3,3,4.01
17023,"Morrisons,Sains","['Mlekpol Gouda Slices', 'Mlekpol Krolewski Z Kolna Cheese Slices']",-1.0,none,food_cupboard,none,False,none,1.25,1.49,1.37,2,2,0.24
17024,"Morrisons,Sains","['Mlekpol Mazurski Smak Full - Fat Curd Cheese', 'Mlekpol Semi-Fat Curd Cheese']",-1.0,none,food_cupboard,none,False,none,1.49,1.49,1.49,2,2,0.0
17025,"Morrisons,Tesco","['Pakeeza Live Set Natural Yogurt', 'Pakeeza Henna Very Low Fat Natural Yogurt']",-1.0,none,food_cupboard,none,False,none,1.09,1.85,1.4700000000000002,2,2,0.76
17026,"Morrisons,Sains,Tesco","['Oshee Vitamins & Minerals Energy Drink', 'Oshee Energy Classic', 'Black Energy Drink']",-1.0,none,food_cupboard,none,False,none,0.6,0.75,0.6833333333333332,3,3,0.15000000000000002
17027,"Morrisons,Sains,Tesco","['Mackays Three Fruit Marmalade', 'Mackays Seville Orange Marmalade', 'Mackays Vintage Orange Marmalade']",-1.0,none,food_cupboard,none,False,none,1.85,2.0,1.95,3,3,0.1499999999999999
17028,"Morrisons,Sains","['KTC Superfine Gram Flour', 'KTC Gram Flour']",-1.0,none,food_cupboard,none,False,none,2.99,3.0,2.995,2,2,0.009999999999999787
17029,"Morrisons,Sains","['Mlekpol Maslanka Buttermilk', 'Buttermilk']",-1.0,none,food_cupboard,none,False,none,1.0,1.69,1.345,2,2,0.69
17030,"Morrisons,Sains,Tesco","['Tymbark Apple & Watermelon Drink', 'Tymbark Apple & Cherry Drink', 'Tymbark Apple Watermelon Drink']",-1.0,none,food_cupboard,none,False,none,0.69,1.3,0.8966666666666666,3,3,0.6100000000000001
17031,"Morrisons,Sains,Tesco","['Supermalt Original Non-Alcoholic Drink', 'Supermalt Less Sugar Non-Alcoholic Malt Beverage with B Vitamins', 'Supermalt Malt Drink']",-1.0,none,food_cupboard,none,False,none,1.15,5.0,3.3833333333333333,3,3,3.85
17032,"Morrisons,Sains","[""Aunty Noray's Lamb Rashers"", ""Aunty Noray's Merguez Sausages""]",-1.0,none,food_cupboard,none,False,none,2.49,2.7,2.595,2,2,0.20999999999999996
17033,"Morrisons,Tesco",['Dunns River Coconut Milk'],-1.0,none,food_cupboard,none,False,none,0.85,1.15,1.0,2,2,0.29999999999999993
17034,"Morrisons,Sains","['Dina White Chapattis', 'Chapattis']",-1.0,none,food_cupboard,none,False,none,1.0,1.29,1.145,2,2,0.29000000000000004
17035,"Morrisons,Tesco","['Shana Onion Paratha', 'Humza Paratha Spring Onion']",-1.0,none,food_cupboard,none,False,none,1.6,1.89,1.745,2,2,0.2899999999999998
17036,"Morrisons,Sains",['KTC Rose Water'],-1.0,none,food_cupboard,none,False,none,1.35,1.4,1.375,2,2,0.04999999999999982
17037,"Morrisons,Tesco","['Regal Bakery Crunchy Rusk', 'Regal Crunchy Rusks']",-1.0,none,food_cupboard,none,False,none,1.3,1.39,1.345,2,2,0.08999999999999986
17038,"Morrisons,Sains","['Oshee Magnesium Vitamin Energy Drink', 'Oshee Magnesium Vitamin Energy Drnk (Sugar levy applied)']",-1.0,none,food_cupboard,none,False,none,0.6,0.6,0.6,2,2,0.0
