idx_a,idx_b,retailer_a,retailer_b,name_a,name_b,similarity,size_ratio,category
8886,37350,ASDA,Sains,Colman's Cottage Pie Recipe Mix,Colman's Recipe Mix Cottage Pie 45g,0.965,1.0,food_cupboard
4104,28657,ASDA,Morrisons,ASDA Organic 4 Organic Pears,Morrisons Organic Pears,0.964,,fresh_food
23092,49639,Morrisons,Tesco,Morrisons Waffle Cones,Tesco 10 Waffle Cones,0.964,,food_cupboard
16727,48909,ASDA,Sains,Lindt Salted Caramel GOLD BUNNY 195g,Lindt Gold Bunny Salted Caramel 195g Egg,0.964,1.0,food_cupboard
26047,51047,Morrisons,Tesco,Warburtons Giant Crumpets,Warburtons Giant Crumpets 3 Pack,0.963,,bakery
16257,54770,ASDA,Tesco,Twix Caramel & Milk Chocolate Fingers Biscuit Bars Multipack 9x20g,"Twix Salted Caramel & Milk Chocolate Fingers Biscuit Bars Multipack, 9x20g",0.963,1.0,food_cupboard
11036,50955,ASDA,Tesco,Cadbury 5 Chocolate Orange Mini Rolls,Cadbury Mini Rolls Chocolate Orange 5 Pack,0.962,,bakery
31143,34166,Morrisons,Sains,Hermesetas Mini Sweeteners 400 Tablets,Hermesetas Mini Sweeteners x 1200’s Tablets,0.962,,food_cupboard
10397,52051,ASDA,Tesco,ASDA Extra Special 4 All Butter Croissants,Tesco Finest All Butter Croissants 4 Pack,0.961,,bakery
10974,46450,ASDA,Sains,Mr Kipling French Fancies Cakes,Mr Kipling French Fancies Cakes x8,0.961,,bakery
6426,62952,ASDA,Tesco,ASDA Extra Special Finely Sliced Hickory Smoked Ham,Tesco Finest Finely Sliced Hickory Smoked Ham 100G,0.961,1.2,fresh_food
10709,51741,ASDA,Tesco,ASDA Free From 4 Bramley Apple Pies,Tesco Free From Bramley Apple Pies 4 Pack,0.96,,bakery
11037,50954,ASDA,Tesco,Cadbury 5 Chocolate Mint Mini Rolls,Cadbury Mini Rolls Chocolate Mint 5 Pack,0.96,,bakery
7427,45277,ASDA,Sains,ASDA Grated Continental Cheese Mix 250g,Sainsbury's Continental Grated Cheese 250g,0.96,1.0,fresh_food
31143,34135,Morrisons,Sains,Hermesetas Mini Sweeteners 400 Tablets,Hermesetas Mini Sweeteners x400 Tablets,0.959,,food_cupboard
10731,46551,ASDA,Sains,ASDA Extra Special Carrot Cake Slices,Sainsbury's Carrot Cake Slices x6,0.959,,bakery
2552,32099,ASDA,Sains,ASDA Extra Special 100% Pure Canadian Maple Syrup 250g,Sainsbury's Pure Canadian Maple Syrup 250g,0.958,1.0,food_cupboard
11538,29686,ASDA,Morrisons,Nando's Lemon & Herb Peri-Peri Wrap Kit,Nando's Peri-Peri Wrap Kit Lemon & Herb Mild,0.958,1.004,food_cupboard
18458,44147,Morrisons,Sains,Morrisons Grated Mozzarella & Cheddar Mix,Sainsbury's Grated Cheddar & Mozzarella Mix 250g,0.958,1.042,fresh_food
6934,31725,ASDA,Sains,ASDA Original Porridge Pot,Sainsbury's Porridge Pot Original 50g,0.958,1.0,food_cupboard
43646,53059,Sains,Tesco,Sainsbury's Baking Sweet Potatoes x2,Tesco 2 Baking Sweet Potatoes,0.958,,fresh_food
46442,51635,Sains,Tesco,Paul Hollywood Ready to Bake Crusty Rolls x4,Paul Hollywood 4 Ready To Bake White Crusty Rolls,0.957,,bakery
26044,50917,Morrisons,Tesco,Mr Kipling French Fancies,Mr Kipling French Fancies 8 Pack,0.957,,bakery
26087,46595,Morrisons,Sains,Morrisons 6 Country Cake Slices,Sainsbury's Country Cake Slices x6,0.957,,bakery
25883,52051,Morrisons,Tesco,Morrisons The Best All Butter Croissants,Tesco Finest All Butter Croissants 4 Pack,0.956,,bakery
28393,60738,Morrisons,Tesco,Morrisons Seedless Red Grapes,Tesco Finest Red Grapes Seedless 400G,0.956,1.0,fresh_food
10981,51515,ASDA,Tesco,Mr Kipling Bramley Apple Pies,Mr Kipling Bramley Apple Pies 6 Pack,0.955,,bakery
1037,56361,ASDA,Tesco,ASDA Extra Special Tenderstem Broccoli Tips,Tesco Tenderstem Broccoli Tips 120G,0.954,1.2,fresh_food
10993,53068,ASDA,Tesco,ASDA Extra Special Maple Pecan Plait 2 Pack,Tesco Maple And Pecan Plait 2 Pack,0.954,,bakery
3748,22530,ASDA,Morrisons,Mug Shot Classic Original Curry Noodles,Mug Shot Noodles Classic Original Curry Soup,0.953,1.007,food_cupboard
26076,46584,Morrisons,Sains,Morrisons Plain Scones,Sainsbury's Plain Scones x4,0.952,,bakery
48333,51514,Sains,Tesco,Mr Kipling Apple & Blackcurrant Pies x6,Mr Kipling Apple & Blackcurrant Pies 6 Pack,0.952,,bakery
10813,63167,ASDA,Tesco,ASDA Free From 4 Seeded Brown Rolls,Tesco Free From Seeded Brown Rolls 4 Pack,0.952,,bakery
979,43309,ASDA,Sains,ASDA Extra Special 4 British Baking Potatoes,Sainsbury's British Baking Potatoes x4,0.951,,fresh_food
6933,35343,ASDA,Sains,Ambrosia Ready to Eat Porridge Pot Golden Syrup Flavour,Ambrosia Ready To Eat Golden Syrup Flavour Porridge Pot 210g,0.951,1.0,food_cupboard
10374,53066,ASDA,Tesco,ASDA Extra Special Cinnamon Swirl,Tesco Cinnamon Swirl 2 Pack,0.951,,bakery
10964,26046,ASDA,Morrisons,Mr Kipling Angel Slices Cakes,Mr Kipling Angel Slices,0.951,,bakery
26092,46551,Morrisons,Sains,Morrisons 6 Carrot Cake Slices,Sainsbury's Carrot Cake Slices x6,0.95,,bakery
27386,33093,Morrisons,Sains,Morrisons Assorted Toffees,"Sainsbury's Toffees, Assorted 200g",0.95,1.111,food_cupboard
2360,36693,ASDA,Sains,ASDA Lemon Drizzle Loaf Cake Kit 320g,Sainsbury's Lemon Drizzle Loaf Cake Mix 320g,0.95,1.0,food_cupboard
2302,54132,ASDA,Tesco,Dr. Oetker Number Two Candle,Dr. Oetker Number 8 Candle,0.95,,food_cupboard
26035,50397,Morrisons,Tesco,Morrisons Sultana Scones,Tesco Sultana Scones 6 Pack,0.949,,bakery
34317,53144,Sains,Tesco,Mrs Crimble's Gluten Free Coconut Macaroons x6,Mrs Crimble's Gluten Free Coconut Macaroons 180G,0.949,,food_cupboard
1015,56428,ASDA,Tesco,ASDA Extra Special Green Vegetable Selection,Tesco Finest Green Vegetable Selection 250G,0.949,1.19,fresh_food
46431,49893,Sains,Tesco,Sainsbury's Farmhouse Loaf White Bread 800g,Tesco White Farmhouse Bread 800G,0.948,1.0,bakery
2302,54131,ASDA,Tesco,Dr. Oetker Number Two Candle,Dr. Oetker Number 7 Candle,0.947,,food_cupboard
3722,57423,ASDA,Tesco,Nissin Cup Noodles Big Classic Wok Style Soba,Nissin Big Soba Wok Style Cup Noodles Classic 113G,0.947,1.027,food_cupboard
26080,51088,Morrisons,Tesco,Mr Kipling Almond Slices,Mr Kipling Almond Slices 6 Pack,0.947,,bakery
26080,46489,Morrisons,Sains,Mr Kipling Almond Slices,Mr Kipling Almond Cake Slices x6,0.947,,bakery
10787,26028,ASDA,Morrisons,Mission 6 Wraps Chargrilled,Mission Deli Chargrilled Wraps,0.947,,bakery
37,55686,ASDA,Tesco,ASDA Extra Special Decaffeinated Colombian Roast & Ground Coffee,Tesco Finest Roast & Ground Colombian Coffee Decaffeinated 227G,0.947,1.009,drinks
22720,52672,Morrisons,Tesco,Morrisons Poppy & Sesame Thins,Tesco Sesame & Poppy Thins 150G,0.946,1.0,food_cupboard
