ensemble_cluster_id,supermarket,names,prices_(£),unit_value,unit_type,tier_keyword,own_brand,category
10290,Sains,Sainsbury's Stir Fry Vegetables 500g,2.5,500.0,g,,True,fresh_food
11156,Morrisons,Morrisons Organic Celery,1.25,,,Organic,True,fresh_food
11156,Tesco,Tesco Organic Celery,1.0,,,Organic,True,fresh_food
12201,Sains,Kabuto Noodles Chilli Chicken Flavour Ramen 65g,1.4,65.0,g,,False,food_cupboard
12201,Tesco,Kabuto Noodles Chilli Chicken Ramen 65G,1.65,65.0,g,,False,food_cupboard
12646,Sains,Pom Wonderful Pomegranate Juice 710ml,4.8,710.0,ml,,False,drinks
12646,Tesco,Pom Wonderful 100% Pomegranate Juice 710Ml,4.8,710.0,ml,,False,drinks
12724,Sains,Robinsons Fruit Creations Refreshing Strawberry & Watermelon Squash 1L,2.5,1000.0,ml,,False,drinks
12724,Tesco,Robinsons Fruit Creations Strawberry & Watermelon Squash 1L,2.5,1000.0,ml,,False,drinks
13123,Morrisons,Jason's White Ciabattin Sourdough,2.0,600.0,g,,False,bakery
13123,Sains,Jason's Sourdough White Ciabattin 580g,2.0,580.0,g,,False,free-from
13123,Tesco,Jason's White Ciabattin Sourdough 580G,2.0,580.0,g,,False,bakery
13512,Sains,Sainsbury's Bread & Butter Pudding 2x120g,2.75,240.0,g,,True,fresh_food
13512,Tesco,Tesco Bread & Butter Puddings 2 X 120G,2.5,240.0,g,,True,fresh_food
