cluster_id,cluster_size,n_supermarkets,supermarkets_present,category,match_type,known_brand,tier_type,unit_value,unit_type,pack_quantity,core_product_name_consensus,avg_pairwise_score,min_pairwise_score
845,1,1,Sains,free-from,branded,Slimfast,,23.0,g,,Snack Bag Baked Cheddar Flavour Bites single serve,,
846,1,1,Morrisons,food_cupboard,own_brand,,standard,200.0,g,,Best White Dark Chocolate…,,
847,1,1,Morrisons,food_cupboard,unbranded,,,170.0,g,,Pip and Nut Smooth Almond Butter,,
848,1,1,ASDA,drinks,unbranded,,,750.0,ml,,Radnor Splash Orange and Passion Fruit Still Spring Water Cartons,,
849,1,1,ASDA,frozen,own_brand,,standard,400.0,g,,Cottage Pie,,
850,1,1,Morrisons,food_cupboard,branded,Schwartz,,90.0,g,,Extra Mature Cheddar Cheese Sauce Mix,,
851,1,1,Morrisons,drinks,own_brand,,standard,6633.3,ml,,Yorkshire Vale Water,,
852,1,1,Sains,food_cupboard,branded,Bisto,,390.0,g,,Best Beef Gravy Granules,,
853,1,1,Sains,food_cupboard,branded,Lotus Biscoff,,180.0,g,,Milk Chocolate with Biscoff Crumbs,,
854,1,1,ASDA,food_cupboard,branded,Mama,,90.0,g,,Hot and Spicy Flavour Oriental Style Instant Noodles,,
855,1,1,Tesco,fresh_food,own_brand,,standard,380.0,g,,Beef Brisket Joint In Gravy,,
856,1,1,ASDA,fresh_food,branded,Cathedral City,,175.0,g,,Grated Extra Mature Cheddar,,
857,1,1,Tesco,drinks,branded,Budweiser,,6000.0,ml,20.0,Bottle,,
858,1,1,Sains,food_cupboard,own_brand,,standard,150.0,g,,Custard Cream Twists with an Apple Pie Flavour Cream Filling,,
859,1,1,ASDA,fresh_food,branded,Scoville,,2200.0,ml,2.0,Glasslux Roaster Set /,,
860,1,1,ASDA,drinks,unbranded,,,,,,CD Now That's What I Call Pop Gold by Various Artists,,
861,1,1,Sains,drinks,branded,Fanta,,500.0,ml,,Orange,,
862,1,1,Morrisons,bakery,own_brand,,standard,850.0,g,,Wholemeal Toastie Bread,,
863,1,1,ASDA,food_cupboard,unbranded,,,300.0,g,,Cypressa Brown Tahini,,
864,1,1,Tesco,fresh_food,unbranded,,,220.0,ml,,The Coconut Collaborative Double Cream,,
865,1,1,Sains,drinks,branded,Pimm's,,700.0,ml,,No.1,,
866,1,1,Sains,drinks,branded,J2o,,1000.0,ml,4.0,Spritz Sparkling Apple and Elderflower Cans,,
867,1,1,Sains,fresh_food,branded,Philadelphia,,35.0,g,4.0,Soft Cheese Mini Tub Light,,
868,1,1,ASDA,fresh_food,own_brand,,standard,1500.0,ml,,Glass Roaster with clip lid,,
869,1,1,Morrisons,food_cupboard,branded,Peter's,,135.3,g,,Yard Seeded Sourdough Flatbreds,,
870,1,1,Sains,drinks,branded,Lucozade,,1520.0,ml,4.0,Energy Cherry,,
871,1,1,Sains,free-from,own_brand,,premium,473.0,ml,,Blonde Chocolate Ice Cream,,
872,1,1,Sains,food_cupboard,branded,Mcvitie's,,266.0,g,,Dark Chocolate Digestive Biscuits,,
873,1,1,Sains,food_cupboard,unbranded,,,5000.0,ml,,Pura Refined Vegetable Oil,,
874,1,1,Morrisons,fresh_food,unbranded,,,200.0,g,,Castle Dairies Welsh Butter With Ha…,,
875,1,1,Sains,fresh_food,unbranded,,,80.0,g,,Bastides Petits Saucisson Secs,,
876,1,1,ASDA,fresh_food,branded,Scoville,,,,,Frying Pan,,
877,1,1,Sains,food_cupboard,unbranded,,,220.0,g,,Odysea Aubergine Meze,,
878,1,1,Morrisons,food_cupboard,branded,Twinings,,36.0,g,20.0,Rooibos and Honey,,
